item_id,source_page,independent_reviewer,label_source,construction_valid,construction_option_clue,arm,permutation_seed,model_id,prompt_version,critic_valid,probe_choice,accepted,key_correct,input_tokens,output_tokens,latency_ms,error
045455e0ea6ae9a95f899da5e097eb75,demo/cuaderno-fracciones.png,none,construction,false,false,critic_only,1,us.anthropic.claude-sonnet-4-6,critic:v1,false,,false,false,1634,204,3525.8,
045455e0ea6ae9a95f899da5e097eb75,demo/cuaderno-fracciones.png,none,construction,false,false,critic_plus_forced_choice_veto,1,us.anthropic.claude-sonnet-4-6+us.amazon.nova-micro-v1:0,critic:v1+probe:v1,false,3,false,false,2245,219,4314.4,
045455e0ea6ae9a95f899da5e097eb75,demo/cuaderno-fracciones.png,none,construction,false,false,critic_plus_advisory_probe,1,us.anthropic.claude-sonnet-4-6+us.amazon.nova-micro-v1:0,critic:v1+probe:v2-advisory,false,UNKNOWN,false,false,2145,219,4045.0,
04ae437d166540574062a665a1883aea,demo/cuaderno-fracciones.png,none,construction,false,true,critic_only,1,us.anthropic.claude-sonnet-4-6,critic:v1,false,,false,true,1665,139,2415.5,
04ae437d166540574062a665a1883aea,demo/cuaderno-fracciones.png,none,construction,false,true,critic_plus_forced_choice_veto,1,us.anthropic.claude-sonnet-4-6+us.amazon.nova-micro-v1:0,critic:v1+probe:v1,false,2,false,true,2281,154,2901.9,
04ae437d166540574062a665a1883aea,demo/cuaderno-fracciones.png,none,construction,false,true,critic_plus_advisory_probe,1,us.anthropic.claude-sonnet-4-6+us.amazon.nova-micro-v1:0,critic:v1+probe:v2-advisory,false,UNKNOWN,false,true,2194,154,2913.4,
104d8fabd8f455246d370c87561f62e6,demo/cuaderno-fracciones.png,none,construction,true,false,critic_only,1,us.anthropic.claude-sonnet-4-6,critic:v1,true,,true,true,1696,141,2835.5,
104d8fabd8f455246d370c87561f62e6,demo/cuaderno-fracciones.png,none,construction,true,false,critic_plus_forced_choice_veto,1,us.anthropic.claude-sonnet-4-6+us.amazon.nova-micro-v1:0,critic:v1+probe:v1,true,"1. Pedro, porque 1/2 = 4/8 y 4/8 > 3/8",true,true,2349,179,3404.2,
104d8fabd8f455246d370c87561f62e6,demo/cuaderno-fracciones.png,none,construction,true,false,critic_plus_advisory_probe,1,us.anthropic.claude-sonnet-4-6+us.amazon.nova-micro-v1:0,critic:v1+probe:v2-advisory,true,UNKNOWN,true,true,2249,156,3336.7,
12085b8e6f3d8d5e905980ede9154f2c,demo/cuaderno-fracciones.png,none,construction,true,false,critic_only,1,us.anthropic.claude-sonnet-4-6,critic:v1,true,,true,true,1571,192,3420.0,
